pl_name,pl_rade,pl_bmasse
"V1298 Tau b",9.72939525,203.41018048
"K2-290 b",3.06000000,10.90000000
"HD 95338 b",3.89000000,42.44000000
"HD 95338 b",4.15000000,42.90000000
"LHS 1903 b",1.38200000,3.28000000
"HD 206893 b",14.01122587,8899.19539600
"HD 206893 c",16.36511182,4036.42076890
"HD 23472 b",2.00000000,8.32000000
"HIP 9618 c",3.34300000,18.30000000
"WASP-20 b",16.38800000,98.84100000
"K2-199 b",1.73000000,6.90000000
"K2-34 b",16.14096000,563.51259000
"TOI-270 c",2.33000000,6.20000000
"WASP-107 b",10.55000000,30.60000000
"WASP-131 b",13.74221034,86.76715511
"TOI-1238 b",1.21000000,3.76000000
"TOI-1238 c",2.11000000,8.32000000
"WASP-96 b",13.78704626,149.37935129
"WASP-121 b",19.52604438,371.85923619
"TOI-7510 d",10.52000000,190.00000000
"HAT-P-13 b",16.66775430,287.95253674
"HAT-P-8 b",14.80706350,405.23121893
"WASP-21 b",13.02483557,87.72064033
"WASP-52 b",14.04485282,137.93752864
"TOI-7510 b",7.34188236,7.94571018
"TOI-7510 d",10.34588919,245.61779293
"WASP-8 b",12.55405838,696.04421133
"GJ 436 b",3.85000000,21.72000000
"HAT-P-15 b",12.01600000,618.47100000
"WASP-62 b",15.02006000,184.34140000
"WASP-13 b",15.77106300,158.91500000
"WASP-69 b",11.84791300,82.63580000
"HAT-P-41 b",18.88716500,254.26400000
"WASP-21 b",11.99000000,95.34500000
"HAT-P-18 b",11.15300000,62.61000000
"HAT-P-19 b",12.68900000,92.80200000
"HAT-P-23 b",15.33400000,664.23700000
"WASP-32 b",13.22700000,1144.14000000
"WASP-38 b",12.26300000,855.24500000
"WASP-34 b",13.67500000,187.51000000
"WASP-1 b",21.63337000,282.86870000
"WASP-2 b",10.70500000,279.68000000
"WASP-10 b",12.10600000,1001.12000000
"HAT-P-8 b",15.69260000,406.82240000
"KELT-3 b",17.48604000,616.59020000
"K2-19 b",7.00000000,32.40000000
"LHS 1903 d",2.50000000,5.96000000
"Kepler-423 b",13.36112800,192.60498000
"WASP-72 b",14.23543000,491.39696300
"V1298 Tau e",9.97599282,321.00669107
"TOI-375 b",10.77183045,236.78216321
"TOI-1246 d",3.43139739,5.40000000
"HD 17156 b",12.18418300,1028.18005000
"HATS-11 b",16.92559000,270.15550000
"GJ 436 b",4.17000000,22.10000000
"WASP-43 b",10.42000000,572.10000000
"GJ 436 b",4.26000000,23.20100000
"HD 189733 b",12.30000000,349.60000000
"WASP-10 b",12.30000000,1017.00000000
"WASP-38 b",12.30000000,858.10000000
"HAT-P-23 b",13.72000000,658.00000000
"WASP-28 b",14.01125000,294.62841000
"WASP-36 b",14.90797000,729.41985000
"WASP-39 b",14.93038800,89.94589000
"HAT-P-13 b",16.66778300,285.72917000
"KELT-14 b",19.53728700,408.09372000
"AU Mic b",4.07000000,17.00000000
"WASP-140 b",16.14096000,775.50520000
"Qatar-1 b",13.22662000,422.71390000
"WASP-3 b",15.69260000,629.30340000
"WASP-3 b",14.68379000,559.38080000
"KELT-16 b",15.86073500,874.03250000
"GJ 1132 b",1.43000000,1.63000000
"KELT-9 b",21.19621900,915.35040000
"WASP-107 b",10.53646000,38.13960000
"Kepler-68 b",2.35700000,8.03000000
"HD 189733 b",12.90155900,365.50450000
"XO-1 b",13.56300000,292.39100000
"TrES-2 b",14.13454900,398.24099000
"HAT-P-2 b",13.33871000,2777.83420000
"TrES-1 b",12.31869100,241.86863000
"HD 15337 c",2.52200000,8.79000000
"TrES-4 b",20.28829000,278.73691000
"WASP-10 b",11.96000300,1004.34280000
"XO-2 N b",11.11932800,176.39565000
"WASP-1 b",16.63415600,273.33380000
"XO-4 b",14.45961000,483.41943000
"WASP-52 b",14.24000000,146.20000000
"WASP-64 b",14.24700000,403.94500000
"WASP-80 b",10.67100000,176.07000000
"XO-4 b",14.91000000,565.71000000
"WASP-65 b",12.46400000,492.62000000
"WASP-75 b",14.23500000,340.06000000
"WASP-1 b",16.62300000,271.41500000
"TOI-6695 b",9.52763359,66.74396547
"WASP-14 b",14.36000000,2333.00000000
"MASCARA-1 b",16.81350000,1175.97100000
"KELT-20 b",19.51486900,1074.90106000
"TrES-2 b",13.02485800,457.67520000
"XO-1 b",13.27145600,286.04700000
"WASP-15 b",15.78227200,188.15536000
"WASP-24 b",14.60532700,352.47347000
"Qatar-1 b",12.81188700,411.27202000
"WASP-17 b",19.58212300,154.46538000
"HD 23472 c",2.14900000,17.18000000
"TOI-1201 b",2.41500000,6.28000000
"WASP-131 b",13.67498000,85.81410000
"Qatar-2 b",12.89035000,826.35800000
"Qatar-2 b",12.49803500,783.76878000
"WASP-11 b",11.26500000,154.77700000
"KELT-20 b",20.51247000,5403.11000000
"TrES-2 b",15.24424000,473.56670000
"HAT-P-2 b",13.45080000,3632.79690000
"HAT-P-15 b",11.88154000,616.59020000
"HAT-P-22 b",12.89035000,785.04010000
"TrES-1 b",12.66617000,266.97720000
"HAT-P-3 b",10.53646000,206.58950000
"HAT-P-5 b",13.56289000,311.47340000
"HAT-P-6 b",16.58932000,419.53560000
"WASP-18 b",13.45080000,3635.97520000
"WASP-8 b",12.66617000,807.28820000
"XO-1 b",12.77826000,263.79890000
"WASP-26 b",13.56289000,270.15550000
"WASP-35 b",14.57170000,225.65930000
"WASP-28 b",13.66374747,282.54945382
"TOI-178 c",1.66900000,4.77000000
"AU Mic b",4.20337500,57.20940000
"XO-1 b",14.57170000,286.04700000
"TrES-2 b",13.89916000,406.82240000
"HD 209458 b",15.92000000,197.05000000
"HD 189733 b",14.12000000,365.49000000
"HAT-P-2 b",12.96900000,2888.95000000
"HAT-P-1 b",13.73100000,166.53600000
"WASP-18 b",13.05848500,3314.96690000
"HAT-P-6 b",14.90800000,335.93200000
"HAT-P-2 b",10.65975900,2739.69460000
"WASP-74 b",17.48604000,301.93850000
"HATS-36 b",13.84311500,1022.14128000
"WASP-95 b",13.78707000,457.67520000
"TOI-4495 b",2.48300000,7.70000000
"HAT-P-14 b",12.89000000,709.36700000
"TOI-4495 c",4.03000000,23.20000000
"WASP-48 b",16.81350000,254.26400000
"WASP-79 b",18.71903000,270.15550000
"HAT-P-40 b",17.03768000,152.55840000
"WASP-94 A b",17.71022000,158.91500000
"WASP-62 b",14.79588000,165.27160000
"WASP-63 b",15.80469000,117.59710000
"WASP-77 A b",15.46842000,727.83070000
"WASP-74 b",15.24424000,228.83760000
"WASP-11 b",10.20019000,168.44990000
"Kepler-12 b",18.99925500,137.62039000
"HAT-P-15 b",12.01604800,619.45067000
"HAT-P-38 b",9.24742500,84.86061000
"WASP-52 b",14.23543000,145.88397000
"WASP-80 b",10.67096800,171.62820000
"WASP-95 b",13.56289000,382.66732000
"WASP-96 b",13.45080000,155.73670000
